Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,112.099998,112.660004,111.040001,112.160004,108.356186,892310
2021-10-21,111.120003,111.959999,110.440002,111.379997,107.602638,1074900
2021-10-22,111.639999,111.900002,109.779999,109.779999,106.056900,1301101
2021-10-25,109.820000,109.879997,107.239998,108.080002,104.414558,1766120
2021-10-26,108.000000,110.919998,107.160004,109.940002,106.211479,1296882
2021-10-27,109.139999,110.379997,108.599998,110.000000,106.269440,1231120
2021-10-28,112.739998,113.559998,110.279999,112.000000,108.201614,1848341
2021-10-29,111.000000,112.900002,109.879997,110.599998,106.849091,1643244
2021-11-01,111.080002,111.620003,109.139999,109.660004,105.940971,1260620
2021-11-02,109.400002,111.139999,108.620003,110.300003,106.559273,1105037
2021-11-03,110.139999,110.139999,107.760002,108.000000,104.337273,1603078
2021-11-04,108.300003,109.800003,107.680000,109.000000,105.303352,1135155
2021-11-05,108.239998,114.139999,107.519997,113.900002,110.037170,2457661
2021-11-08,114.000000,115.639999,113.680000,115.639999,111.718163,1761599
2021-11-09,115.239998,117.180000,114.839996,116.320000,112.375099,1403630
2021-11-10,116.559998,117.620003,115.379997,116.199997,112.259171,871005
2021-11-11,116.199997,116.779999,113.940002,114.699997,110.810036,1022281
2021-11-12,114.220001,115.239998,112.139999,112.139999,108.336868,1431439
2021-11-15,114.379997,115.720001,113.639999,114.040001,110.172424,1330937
2021-11-16,114.800003,115.639999,113.900002,115.000000,111.099861,1150422
2021-11-17,114.639999,115.139999,114.059998,114.440002,110.558868,1300356
2021-11-18,114.260002,114.699997,112.599998,113.260002,109.418884,1391601
2021-11-19,113.559998,113.559998,108.839996,109.400002,105.689789,2700171
2021-11-22,109.980003,110.900002,108.519997,108.779999,105.090813,1783388
2021-11-23,108.800003,111.820000,108.320000,110.260002,106.520622,1287924
2021-11-24,110.820000,111.959999,109.180000,111.459999,107.679924,1194993
2021-11-25,111.980003,112.779999,110.699997,112.260002,108.452789,935805
2021-11-26,99.500000,102.820000,95.730003,99.360001,95.990280,6274958
2021-11-29,101.160004,102.660004,98.690002,99.690002,96.309097,3238653
2021-11-30,98.199997,101.580002,96.809998,98.720001,95.371994,3828819
2021-12-01,100.959999,102.199997,99.190002,101.919998,98.463463,2056790
